vim 9.1.1734-1.1
vim-runtime 9.1.1734-1.1
vmaf 3.0.0-1.1
vulkan-icd-loader 1.4.321.0-1.1
vulkan-mesa-device-select 1:25.2.3-3
vulkan-radeon 1:25.2.3-3
waybar 0.14.0-1.1
wayland 1.24.0-1.1
wayland-protocols 1.45-1
webrtc-audio-processing-1 1.3-5.1
wget 1.25.0-2.1
which 2.23-1.1
wildmidi 0.4.6-1.1
wireless-regdb 2025.07.10-1
wireplumber 0.5.11-1.1
wl-clipboard 1:2.2.1-3.1
wlogout 1.2.2-0
wlr-randr 0.5.0-1.1
wob 0.16-2.1
woff2-font-awesome 7.0.1-1
wofi 1.5.1-1.1
wpa_supplicant 2:2.11-3.1
x264 3:0.164.r3108.31e19f9-3.1
x265 4.1-1.1
xcb-imdkit 1.0.9-1.1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2.2
xcb-util-cursor 0.1.6-1.1
xcb-util-errors 1.0.1-2.1
xcb-util-image 0.4.1-3.1
xcb-util-keysyms 0.4.1-5.1
xcb-util-renderutil 0.3.10-2.1
xcb-util-wm 0.4.2-2.1
xdg-desktop-portal 1.20.3-1.2
xdg-desktop-portal-hyprland 1.3.10-1.1
xdg-user-dirs 0.18-2.1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1.1
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 6.16.0-3.1
xkeyboard-config 2.45-1
xl2tpd 1.3.19-1.1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.18-2.1
